Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
2,06:58:28,pdx_localize.cpp:279,Duplicate localization key. Key 'PORTRAIT_MODIFIER_custom_cloaks_female_cloak_asoiaf_nights_watch_cloak_1' is defined in both 'localization/russian/asoiaf_barbershop_l_russian.yml' and 'localization/russian/asoiaf_barbershop_l_russian.yml'.,Identical localization definitions,AGOT+ rus,localization/russian/asoiaf_barbershop_l_russian.yml | localization/russian/asoiaf_barbershop_l_russian.yml,PORTRAIT_MODIFIER_custom_cloaks_female_cloak_asoiaf_nights_watch_cloak_1,localization/russian/asoiaf_barbershop_l_russian.yml,localization/russian/asoiaf_barbershop_l_russian.yml
1184,06:58:29,pdx_localize.cpp:279,Duplicate localization key. Key 'CHARACTER_IN_LOCATION_MISSING' is defined in both 'localization/russian/agot/gui/agot_common_l_russian.yml' and 'localization/russian/gui/asoiaf_character_window_l_russian.yml'.,Reviewed same-object mod override,A Game of Thrones | Русификатор | AGOT+ rus,localization/russian/agot/gui/agot_common_l_russian.yml | localization/russian/gui/asoiaf_character_window_l_russian.yml,CHARACTER_IN_LOCATION_MISSING,localization/russian/agot/gui/agot_common_l_russian.yml,localization/russian/gui/asoiaf_character_window_l_russian.yml
