LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
10755,variable_unused,Symbol only in AGOT+ effective text,agot_faegon_jon_snow_char,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:52,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'agot_faegon_jon_snow_char' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10756,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Stark_1_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1441,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Stark_1_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10757,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Strong_29_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2498,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Strong_29_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10759,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Tyrell_4_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2125,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Tyrell_4_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10760,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Baratheon_75_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1666,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Baratheon_75_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10761,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Stark_84_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1287,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Stark_84_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10762,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Arryn_80_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1968,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Arryn_80_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10764,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Targaryen_96_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:825,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Targaryen_96_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10765,variable_unused,Symbol only in AGOT+ effective text,color,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:294 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:529 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:756 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:983 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:1210 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:1437 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:1664,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'color' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10766,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Strong_28_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2487,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Strong_28_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
