Category,Diagnostic,Messages,FirstLogLine,Files
dna_missing_gene,gene_dragon_eye_color_value,186,1480,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_fire_color,298,1443,common/dna_data/test_dna_beyond_the_wall.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_easter_eggs.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_fire_smoke,298,1444,common/dna_data/test_dna_beyond_the_wall.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_easter_eggs.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_horn_color_hue,186,1481,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_horn_color_saturation,298,1442,common/dna_data/test_dna_beyond_the_wall.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_easter_eggs.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_horn_color_value,186,1482,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_metallic_scales_strength,202,1490,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_primary_color_hue,186,1473,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_primary_color_saturation,298,1438,common/dna_data/test_dna_beyond_the_wall.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_easter_eggs.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_primary_color_value,186,1474,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
