LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
9753,ai_decisions,Symbol only in AGOT+ effective text,asoiaf_greyjoy_cadets_decision,AGOT+ | Исправления совместимости: common/decisions/asoiaf_house_branch_decisions.txt:448,AGOT+ | Исправления совместимости,decision_type.cpp:224,,,asoiaf_greyjoy_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead
9754,ai_decisions,Symbol only in AGOT+ effective text,asoiaf_baelish_cadets_decision,AGOT+ | Исправления совместимости: common/decisions/asoiaf_house_branch_decisions.txt:553,AGOT+ | Исправления совместимости,decision_type.cpp:224,,,asoiaf_baelish_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead
9755,ai_decisions,Symbol only in AGOT+ effective text,asoiaf_harlaw_cadets_decision,AGOT+ | Исправления совместимости: common/decisions/asoiaf_house_branch_decisions.txt:661,AGOT+ | Исправления совместимости,decision_type.cpp:224,,,asoiaf_harlaw_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead
9756,ai_decisions,Symbol only in AGOT+ effective text,asoiaf_jon_targ_cadet_branch_decision,AGOT+: common/decisions/asoiaf_jon_targ_cadet_branch_decision.txt:1,AGOT+,decision_type.cpp:224,,,asoiaf_jon_targ_cadet_branch_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead
9757,ai_decisions,Symbol only in AGOT+ effective text,asoiaf_aegon_II_greens_cadet_branch_decision,AGOT+: common/decisions/asoiaf_jon_targ_cadet_branch_decision.txt:68,AGOT+,decision_type.cpp:224,,,asoiaf_aegon_II_greens_cadet_branch_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead
