LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
3123,dna_duplicate,Direct file,,common/dna_data/test_dna_north.txt,,portraitcontext.cpp:239,AGOT+,common/dna_data/test_dna_north.txt,Trying to read gene gene_no_portrait a second time at file: common/dna_data/test_dna_north.txt line: 1072 (Stark_asoiaf_3)
9999,dna_duplicate,Direct file,,common/bookmark_portraits/bookmark_282_eddard_stark.txt,,portraitcontext.cpp:239,AGOT+,common/bookmark_portraits/bookmark_282_eddard_stark.txt,Trying to read gene gene_bs_ear_outward a second time at file: common/bookmark_portraits/bookmark_282_eddard_stark.txt line: 207 (bookmark_282_eddard_stark)
10000,dna_duplicate,Direct file,,common/bookmark_portraits/bookmark_282_robert_baratheon.txt,,portraitcontext.cpp:239,AGOT+,common/bookmark_portraits/bookmark_282_robert_baratheon.txt,Trying to read gene gene_bs_ear_outward a second time at file: common/bookmark_portraits/bookmark_282_robert_baratheon.txt line: 204 (bookmark_282_robert_baratheon)
