LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
10720,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_102_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:90,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_102_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10722,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_94_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:34,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_94_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10723,variable_not_set,Symbol only in AGOT+ effective text,faegon_main_character,AGOT+ | Исправления совместимости: common/on_action/agot_on_actions/test_title_on_actions.txt:815 | AGOT+ | Исправления совместимости: common/on_action/agot_on_actions/test_title_on_actions.txt:816 | AGOT+ | Исправления совместимости: common/on_action/agot_on_actions/test_title_on_actions.txt:817,AGOT+ | Исправления совместимости,jomini_effect.cpp:1161,,,Variable 'faegon_main_character' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10724,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_10_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:167,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_10_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10725,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_4_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:132,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_4_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10728,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_98_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:62,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_98_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10729,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_103_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:97,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_103_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10733,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_86_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:13,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_86_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10734,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_7_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:146,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_7_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10778,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_targaryen_invasion_claimant,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_targaryen_invasion_claimants_effects.txt:140,AGOT+ | Исправления совместимости,jomini_effect.cpp:1161,,,Event target 'asoiaf_targaryen_invasion_claimant' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10860,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_8_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:153,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_8_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10861,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_84_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:6,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_84_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10862,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_96_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:48,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_96_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10865,variable_not_set,Symbol only in AGOT+ effective text,is_jon_snow,AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt:174 | AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt:1565 | AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt:1737 | AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt:17639 | AGOT+: gfx/portraits/portrait_modifiers/asoiaf_beards_custom_flags.txt:2416,AGOT+ | AGOT+ | Исправления совместимости,jomini_effect.cpp:1161,,,Variable 'is_jon_snow' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10866,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_97_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:55,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_97_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10867,variable_not_set,Symbol only in AGOT+ effective text,kingsguard_armour,AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_headgear_situational.txt:175 | AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_clothes_situational.txt:90 | AGOT+: gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt:23,AGOT+ | AGOT+ | Исправления совместимости,jomini_effect.cpp:1161,,,Variable 'kingsguard_armour' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10870,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_99_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:69,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_99_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10871,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_2_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:111,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_2_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10873,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_101_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:83,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_101_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10875,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_1_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:104,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_1_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10877,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_87_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:20,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_87_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10879,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_95_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:41,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_95_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10880,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_11_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:174,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_11_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
