LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
1718,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_metallic_scales_strength! at 'file: common/dna_data/test_dna_crownlands.txt line: 1628 (Stokeworth_asoiaf_5)'
1719,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_scale_shadows! at 'file: common/dna_data/test_dna_crownlands.txt line: 1628 (Stokeworth_asoiaf_5)'
1720,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_scale_highlights! at 'file: common/dna_data/test_dna_crownlands.txt line: 1628 (Stokeworth_asoiaf_5)'
1721,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_wounded! at 'file: common/dna_data/test_dna_crownlands.txt line: 1628 (Stokeworth_asoiaf_5)'
1722,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_body_shading! at 'file: common/dna_data/test_dna_crownlands.txt line: 1628 (Stokeworth_asoiaf_5)'
1723,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_body_pattern! at 'file: common/dna_data/test_dna_crownlands.txt line: 1628 (Stokeworth_asoiaf_5)'
1724,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_wings_shading! at 'file: common/dna_data/test_dna_crownlands.txt line: 1628 (Stokeworth_asoiaf_5)'
1725,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_bs_head_shape! at 'file: common/dna_data/test_dna_crownlands.txt line: 1628 (Stokeworth_asoiaf_5)'
1726,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 1933 (Stokeworth_asoiaf_6)
1727,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 1933 (Stokeworth_asoiaf_6)
