Symbol,Mod,File,Line,SourceText
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1165,							has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1166,							var:kingsguard_choice = 1
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1210,								has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1211,								var:kingsguard_choice = 1
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1255,							has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1256,							var:kingsguard_choice = 2
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1300,								has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1301,								var:kingsguard_choice = 2
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1345,							has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1346,							var:kingsguard_choice = 3
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1390,								has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1391,								var:kingsguard_choice = 3
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1435,							has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1436,							var:kingsguard_choice = 4
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1480,								has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1481,								var:kingsguard_choice = 4
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1525,							has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1526,							var:kingsguard_choice = 5
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1570,								has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1571,								var:kingsguard_choice = 5
golden_company_armor_blackfyre,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1725,				template = golden_company_armor_blackfyre
golden_company_armor_blackfyre,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,1760,				template = golden_company_armor_blackfyre
captains_sword,AGOT Submod Core,gfx/portraits/portrait_modifiers/04_clothes_armor.txt,7671,                    has_variable = captains_sword
captains_sword,AGOT Submod Core,gfx/portraits/portrait_modifiers/04_clothes_armor.txt,7738,                    has_variable = captains_sword
tgc_pants_blackfyre,AGOT Submod Core,gfx/portraits/portrait_modifiers/04_clothes_armor.txt,7758,				template = tgc_pants_blackfyre
tgc_pants_blackfyre,AGOT Submod Core,gfx/portraits/portrait_modifiers/04_clothes_armor.txt,7793,				template = tgc_pants_blackfyre
captains_sword,AGOT Submod Core,gfx/portraits/portrait_modifiers/04_clothes_armor.txt,7809,                    has_variable = captains_sword
brightboar_swordsman_armour,AGOT Submod Core,gfx/portraits/portrait_modifiers/04_clothes_armor.txt,7831,                template = brightboar_swordsman_armour
swordman_armor_artifact,AGOT Submod Core,gfx/portraits/portrait_modifiers/04_clothes_armor.txt,7846,                agot_has_artifact_equipped = { ARTIFACT_VARIABLE = swordman_armor_artifact }
color,AGOT More Dragon Eggs | Исправления русификатора и совместимости,localization/replace/english/more_dragon_eggs_gamerules_l_english.yml,190," setting_spawn_dragonstone_eggs_enabled_desc:0 ""Nessarion/Meraxes/Vhagar/Quicksilver/Dreamfyre/Meleys/Silverwing + Vermithor/Syrax + Caraxes dragon eggs of any color can be picked up by travelers going to Dragonstone"""
kingsguard_armour,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_headgear_situational.txt,175,					any_equipped_character_artifact = { has_variable = kingsguard_armour }
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_legwear_base.txt,905,								has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_legwear_base.txt,906,								var:kingsguard_choice = 4
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_legwear_base.txt,944,								has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_legwear_base.txt,945,								var:kingsguard_choice = 5
color,A Game of Thrones,map_data/geographical_regions/00_agot_geographical_region.txt,4483,	color = { 0 0 255 }
color,A Game of Thrones,map_data/geographical_regions/00_agot_geographical_region.txt,4510,	color = { 255 255 0 }
color,A Game of Thrones,map_data/geographical_regions/00_agot_geographical_region.txt,4518,	color = { 0 255 0 }
color,A Game of Thrones,map_data/geographical_regions/00_agot_geographical_region.txt,4532,	color = { 255 0 0 }
color,A Game of Thrones,map_data/geographical_regions/00_agot_geographical_region.txt,4561,	color = { 0 255 255 }
color,A Game of Thrones,map_data/geographical_regions/00_agot_geographical_region.txt,4574,	color = { 250 250 250 }
color,A Game of Thrones,map_data/geographical_regions/00_agot_geographical_region.txt,4586,	color = { 155 255 155 }
valyrian_invasion_vs_spear_1_1,Valyrian Steel,gfx/portraits/portrait_animations/99_valyrian_invasion_weapons_animations.txt,2895,valyrian_invasion_vs_spear_1_1 = {
valyrian_invasion_vs_halberd_1,Valyrian Steel,gfx/portraits/portrait_animations/99_valyrian_invasion_weapons_animations.txt,4225,valyrian_invasion_vs_halberd_1 = {
dragon_whip_black,Valyrian Steel,gfx/portraits/portrait_animations/99_dragon_whip_animations.txt,1,dragon_whip_black = {
dragon_whip_bronze,Valyrian Steel,gfx/portraits/portrait_animations/99_dragon_whip_animations.txt,158,dragon_whip_bronze = {
