"Count","Category","Owner","FirstLogLine","Component","Message"
"10","Graphics / portrait source error","AGOT+","1386","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"7","Graphics / portrait source error","AGOT+","1372","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_chapletsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"7","Other error","Unresolved file","1255","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'"
"7","Graphics / portrait source error","","1254","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_properties.dds'"
"7","Other error","Unresolved file","1257","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'"
"7","Graphics / portrait source error","","1256","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_normal.dds'"
"6","Localization / dynamic text error","","1922","pdx_locstring.cpp:93","Key is missing localization: test_crush_desc"
"4","History / title / faith reference error","","2840","history.cpp:644","Referencing non-existent character in script link character:Targaryen_61_1"
"4","Graphics / portrait source error","AGOT+","1396","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_decorationsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"4","History / title / faith reference error","","2831","history.cpp:644","Referencing non-existent character in script link character:Dormund_1"
"3","Script / database error","","2098","jomini_eventmanager.cpp:119","'agot_cities.5000' does not have a valid namespace"
"2","Script / database error","","2602","jomini_effect.cpp:1161","Variable 'is_Durrandon_51' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2603","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_10_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2606","jomini_effect.cpp:1161","Variable 'darksister' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2601","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_86_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2604","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_97_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2608","jomini_effect.cpp:1161","Variable 'app_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2607","jomini_effect.cpp:1161","Variable 'kingsguard_armour' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
