LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message,PriorLogLine,EvidenceBasis
1612,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt | gfx/coat_of_arms/colored_emblems/ce_bottom_solid.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/ce_bottom_solid.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1302,1824,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1614,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt | gfx/coat_of_arms/colored_emblems/re_block_02.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/re_block_02.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1699,1826,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1615,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt | gfx/coat_of_arms/colored_emblems/re_block_02.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/re_block_02.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1781,1827,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1617,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_personal_coas.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_personal_coas.txt | gfx/coat_of_arms/colored_emblems/asoiaf_unicorn.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/asoiaf_unicorn.dds near file: common/coat_of_arms/coat_of_arms/test_personal_coas.txt line: 2130,1829,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1618,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_northern_dynasties.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_northern_dynasties.txt | gfx/coat_of_arms/colored_emblems/north_wibberly.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/north_wibberly.dds near file: common/coat_of_arms/coat_of_arms/test_northern_dynasties.txt line: 981,1830,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1620,heraldry,Source/resource paths include AGOT+,,common/coat_of_arms/coat_of_arms/test_riverland_dynasties.txt,,coat_of_arms_render_description.cpp:190,AGOT+ | Unresolved file,common/coat_of_arms/coat_of_arms/test_riverland_dynasties.txt | gfx/coat_of_arms/colored_emblems/vale_seldon_rayonne.dds,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/vale_seldon_rayonne.dds near file: common/coat_of_arms/coat_of_arms/test_riverland_dynasties.txt line: 735,1832,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
