BeforeCount,AfterCount,Difference,Component,Message,Signature
1,0,-1,dnamodifier.cpp:469,"Failed to find accessory group for asoiaf_fots_religious_clothes, near file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 19159 (asoiaf_custom_character_clothes)","dnamodifier.cpp:469 Failed to find accessory group for asoiaf_fots_religious_clothes, near file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_custom_character_clothes)"
1,0,-1,dnamodifier.cpp:481,"Can't find accessory 'male_clothes_religious_catholic_high_1' in gene template religious_catholic_high_clothes, near file: gfx/portraits/portrait_modifiers/asoiaf_clothes.txt line: 797 (asoiaf_septon_clothes_modifiers)","dnamodifier.cpp:481 Can't find accessory 'male_clothes_religious_catholic_high_1' in gene template religious_catholic_high_clothes, near file: gfx/portraits/portrait_modifiers/asoiaf_clothes.txt line: * (asoiaf_septon_clothes_modifiers)"
1,0,-1,dnamodifier.cpp:481,"Can't find accessory 'male_hair_fp1_09' in gene template agot_all_hairstyles, near file: gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt line: 1911 (asoiaf_hairs_custom_appearances)","dnamodifier.cpp:481 Can't find accessory 'male_hair_fp1_09' in gene template agot_all_hairstyles, near file: gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt line: * (asoiaf_hairs_custom_appearances)"
1,0,-1,dnamodifier.cpp:481,"Can't find accessory 'male_legwear_asoiaf_hound_legs' in gene template asoiaf_all_legwears, near file: gfx/portraits/portrait_modifiers/asoiaf_clothes_armor.txt line: 6706 (asoiaf_clothes_armor)","dnamodifier.cpp:481 Can't find accessory 'male_legwear_asoiaf_hound_legs' in gene template asoiaf_all_legwears, near file: gfx/portraits/portrait_modifiers/asoiaf_clothes_armor.txt line: * (asoiaf_clothes_armor)"
1,0,-1,dnamodifier.cpp:481,"Can't find accessory 'male_legwear_asoiaf_kingsguard_legs_1' in gene template asoiaf_all_legwears, near file: gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt line: 9 (asoiaf_legwear)","dnamodifier.cpp:481 Can't find accessory 'male_legwear_asoiaf_kingsguard_legs_1' in gene template asoiaf_all_legwears, near file: gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt line: * (asoiaf_legwear)"
1,0,-1,dnamodifier.cpp:481,"Can't find accessory 'male_legwear_asoiaf_kingsguard_legs_2' in gene template asoiaf_all_legwears, near file: gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt line: 40 (asoiaf_legwear)","dnamodifier.cpp:481 Can't find accessory 'male_legwear_asoiaf_kingsguard_legs_2' in gene template asoiaf_all_legwears, near file: gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt line: * (asoiaf_legwear)"
2,0,-2,jomini_effect.cpp:1145,Variable 'agot_faegon_jae_birth_year' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,jomini_effect.cpp:1145 Variable 'agot_faegon_jae_birth_year' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
2,0,-2,jomini_effect.cpp:1145,Variable 'agot_faegon_jon_snow_char' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,jomini_effect.cpp:1145 Variable 'agot_faegon_jon_snow_char' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
2,0,-2,jomini_effect.cpp:1145,Variable 'asoiaf_canon_children_Arryn_3_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,jomini_effect.cpp:1145 Variable 'asoiaf_canon_children_Arryn_3_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
2,0,-2,jomini_effect.cpp:1145,Variable 'asoiaf_canon_children_Arryn_80_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,jomini_effect.cpp:1145 Variable 'asoiaf_canon_children_Arryn_80_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
