Stage,Category,PriorLogLine,Component,Message,AfterCount
11,mesh_duplicates,1217,pdxassetutil.cpp:1009,"Duplicate texture 'male_cloaks_secular_shouldercape_01_properties.dds' found (current path 'gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_properties.dds', previous path 'gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_properties.dds')",1
11,mesh_blendshape,1400,pdx_entity.cpp:585,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_breast_size_max"" for attribute ""bs_body_breast_size_max"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1
11,mesh_blendshape,1401,pdx_entity.cpp:585,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_breast_size_min"" for attribute ""bs_body_breast_size_min"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1
11,mesh_blendshape,1402,pdx_entity.cpp:585,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_pregnant"" for attribute ""bs_body_pregnant_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1
11,mesh_blendshape,1403,pdx_entity.cpp:585,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_fat"" for attribute ""bs_body_fat_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1
11,mesh_blendshape,1404,pdx_entity.cpp:585,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_gaunt"" for attribute ""bs_body_gaunt_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1
11,mesh_blendshape,1405,pdx_entity.cpp:585,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_muscular"" for attribute ""bs_body_muscular_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1
11,mesh_blendshape,1406,pdx_entity.cpp:585,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_old"" for attribute ""bs_body_old_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1
11,mesh_blendshape,1407,pdx_entity.cpp:585,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_dwarf"" for attribute ""bs_body_dwarf_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1
11,mesh_blendshape,1408,pdx_entity.cpp:585,"Could not find blend shape ""female_clothes_f_asoiaf_lannister_armour_high_bs_infant"" for attribute ""bs_body_infant_1"" in entity ""female_clothes_asoiaf_lannister_armour_high_entity""",1
11,accessory_entity,1433,portraitaccessories.cpp:65,could not find entity [female_cloak_asoiaf_stannis_cloak_1] - file: gfx/portraits/accessories/asoiaf_cloaks.txt line: 51 (female_cloak_asoiaf_stormlands_stannis_cloak_1),0
