"MainFile","TranslationFile","EnglishEntries","RussianEntries","EnglishUniqueKeys","RussianUniqueKeys","MissingInFile","ExtraInFile","MainSHA256","TranslationSHA256"
"localization/replace/asoiaf_valyrian_dynasty_names_l_english.yml","localization/replace/asoiaf_valyrian_dynasty_names_l_russian.yml","2","2","2","2","","","753559DF1DA6A4ABAD3779AA5E550A2ED0C990CE175A4C3342E4961C764D269F","16D4991FE1AFB918B3935632AADF9F3995C5A3E868F1BD0601BCA3292B0EC934"
"localization/replace/bookmarks/asoiaf_bm_group_8282_l_english.yml","localization/replace/bookmarks/asoiaf_bm_group_8282_l_russian.yml","13","13","13","13","","","8CF98355ACE12643219FB5CA041614ED2FD62600230DCB19657F81D27B4DAF8E","A6A36DD0801819C2DCFC40AB6563002F07B85D4F10F2B450F819F6E7ABEB6959"
"localization/replace/bookmarks/asoiaf_bm_group_CS_l_english.yml","localization/replace/bookmarks/asoiaf_bm_group_CS_l_russian.yml","11","11","11","11","","","5554F5F0C81236B01566755A4121424D7754D5EB21E2C7F4522FAE33B0C8F1AA","663318D5CFFB0B43958BC9811227197BB6F35DA2E5C098056A065C7C71E54A2B"
"localization/replace/zzz_asoiaf_traits_l_english.yml","localization/replace/zzz_asoiaf_traits_l_russian.yml","3","3","3","3","","","5577D83775FCCA2566BA277330CD340CE73E68FE51157BBD1268DED0AA06B600","ECDECE2D8167904A7626FAC98BE54FC246FE03AC8315086CBCD9338E30BF16E2"
"localization/english/asoiaf_artifacts/asoiaf_artifacts_l_english.yml","localization/russian/asoiaf_artifacts/asoiaf_artifacts_l_russian.yml","33","33","33","33","","","8933F43A9DD6ECD87E6C127E442E1A998D746673F3728FC274C97E98B9AEF578","C1FA15225E157B9B67ED2CF3951665A9493863A4F16AF2EBD0B26B7F75CE1E0F"
"localization/english/asoiaf_barbershop_l_english.yml","localization/russian/asoiaf_barbershop_l_russian.yml","283","283","282","282","","","1AA85B74B80AC5E3396C7ED5BDF7DEF07182700DAB63AF782F59173DF1F2684F","9B656A4B452FA2549AC0C1CD25A964A9EB2604237645C9BA383F6CADCD2C5629"
"localization/english/asoiaf_court_visuals_l_english.yml","localization/russian/asoiaf_court_visuals_l_russian.yml","8","8","8","8","","","479339F866CB3EB0126FB679134FA4AC40618A424D23E85A874315B0B5DF8FD6","AA5E9D6FC40A64EFD762E0BD620EAFF67FFEBF6E2A0426DE7C17A0EC51C732CA"
"localization/english/asoiaf_death_reasons_l_english.yml","localization/russian/asoiaf_death_reasons_l_russian.yml","2","2","2","2","","","520128A2D871815046557101BA60FBAB54ABEA632D30A8673A5FFFBD17C1B74C","B3C32CD428EE0EB04301752DEA6E8142CBD7EDF1DF45C8B799B298D03CE2C3C8"
"localization/english/asoiaf_decisions_l_english.yml","localization/russian/asoiaf_decisions_l_russian.yml","68","68","68","68","","","5CC060BC411820C10DC7CDC67C99962FD77695958E7988B4C013F373C28A1172","3EAD2EB2084995C907EF062FEA17B1F0BB8DD98935F97F0F668D4DD4599C0016"
"localization/english/asoiaf_dlc_metadata_l_english.yml","localization/russian/asoiaf_dlc_metadata_l_russian.yml","2","2","2","2","","","A66C38BBB0969B98AF992ABFFF36B615C66AB2CFAB80A0EECA2F090F7F4209B3","68568DBB1D6E39DAAC6CD8E4AB09F01D26B7586F873A7D9F16D11CE16B756385"
"localization/english/asoiaf_game_concepts_l_english.yml","localization/russian/asoiaf_game_concepts_l_russian.yml","4","4","4","4","","","B878D68CE39F148D05DDB40419DE06957C6F7982E9739219DB0D6322EDC727F0","99786AB7F749DBF6FCC726A0905F7A59CE7BD953216FA0FA8140E44AB3357CF8"
"localization/english/asoiaf_game_rules_l_english.yml","localization/russian/asoiaf_game_rules_l_russian.yml","214","214","214","214","","","DC6A5BCC2289A0AE82E9C85079DE3E01BD3CE9890B092CE95FDD73066087558E","A41BA04D16BFF13DECB53D6FC32C397A35051EE20DA615BAE128332CC9814F1F"
"localization/english/asoiaf_historical_characters_l_english.yml","localization/russian/asoiaf_historical_characters_l_russian.yml","26","26","26","26","","","EF25C6E13A60A0C9AD3FF17830D211B2F2C33961636CD16F5BDF34A978E8350D","95388BE91BEBDB4E0F0C855EF5E7F1D3E9AA3A6FA547F7EA237F0749832D5911"
"localization/english/asoiaf_house_relations_l_english.yml","localization/russian/asoiaf_house_relations_l_russian.yml","2","2","2","2","","","50471AB399C3AC01AED4C968E22CF0DC43C5E9B787187A8E65E775C130115ABA","10277C2FF5BBD77BF7EC99CC4C3BFBBEB375AA58C9695959D4BE9EE94A4F5773"
"localization/english/asoiaf_legends_l_english.yml","localization/russian/asoiaf_legends_l_russian.yml","2","2","2","2","","","5214CCBAB730E5237FEF72E9B712887CE51BBAB2444D89F5E5EE38057563E048","38787BC8B848BB4B1609CF0F765FF305CEE96AFF7248559CEEB111F437236AFD"
"localization/english/asoiaf_memories_l_english.yml","localization/russian/asoiaf_memories_l_russian.yml","16","16","16","16","","","B4A8048D197EAC238D6D6EF55710D7579B299512B7A1A88520935AF667234D05","C7D631F333A6B9BF4DB66515C8A96BE605ABB4C1F25EDE533C20AFCE9A403B09"
"localization/english/asoiaf_nicknames_l_english.yml","localization/russian/asoiaf_nicknames_l_russian.yml","16","16","16","16","","","F9D4B933A2E2EC657A4BA287770DD970F63E76ECA286E421FED40C113AA1B9C3","182F0248665422D22FF90A558B52D15CC515B9E83E997253975273115875C44F"
"localization/english/asoiaf_relationship_reasons_l_english.yml","localization/russian/asoiaf_relationship_reasons_l_russian.yml","62","62","62","62","","","912A7B5D233711FC92FC455B7BC405E99968F3E6180EB486B2DE1FEB0359BCD3","95AB15B51819EB1726C479188B3477EC78D4048F126D83E0EA7A9FD6CFFCC919"
"localization/english/asoiaf_traits_l_english.yml","localization/russian/asoiaf_traits_l_russian.yml","1","1","1","1","","","E6720625102591235266AAC18355F6AFD85C1274872380A87A1812A1E7206362","D42AD34DBCCB1B020504BF497452B4D2C8DFA09E4FFA76A18A9F71261EB4B205"
"localization/english/asoiaf_uncategorised_l_english.yml","localization/russian/asoiaf_uncategorised_l_russian.yml","1","1","1","1","","","5AB9309F92C4C2FB1F5EAEF3E0DD7F85BEB26F5CCBDB059A17D8F35D4AC9E4CA","290DA45E993EDD032E72342829896FDF836EBF641CB620D8A1B35A7D7084836E"
"localization/english/dynasties/asoiaf_dynasty_mottos_l_english.yml","localization/russian/dynasties/asoiaf_dynasty_mottos_l_russian.yml","7","7","7","7","","","181E3B8EA7F854D07E4ACE871916AF535D836494EBFDB3F8747AD4E647C2C829","03C9B76DBA9F1242C8F2028A4FFA661541109BFD797473A364B3E8704EFE8C39"
"localization/english/dynasties/asoiaf_dynasty_names_l_english.yml","localization/russian/dynasties/asoiaf_dynasty_names_l_russian.yml","17","17","17","17","","","74A56BF0BA3A3D3A6B032AE50757E86A1E58CF0B0B0BC42EDB8BBEC0DBD21341","85FF0F6AEAC2D4FED1699E1AF9119060DB0B3334EA8F5BD5A4C85C8745B4DBD2"
"localization/english/event_localization/asoiaf_maintenance_l_english.yml","localization/russian/event_localization/asoiaf_maintenance_l_russian.yml","63","63","63","63","","","7A1047BA445763B657DDC4FEDABBA921F04BF6EC309BDF12D3AF8D04E665E1EA","62FAB8BBBF83333A1EAF6AED91740D9EAAF38034130C974538D5B006EFB63FC6"
"localization/english/gui/asoiaf_character_window_l_english.yml","localization/russian/gui/asoiaf_character_window_l_russian.yml","1","1","1","1","","","86F149EEBB5630BB967839080C053517CF3F56BF9B4DD13FA0A99171D6241691","85B6FBCD31B34F0D942D0CE3BEA6F4EE0A318DD6AC971BA943BF00478AA07E61"
"localization/english/gui/asoiaf_coa_designer_l_english.yml","localization/russian/gui/asoiaf_coa_designer_l_russian.yml","1","1","1","1","","","05C76956955D8B16FF5507C7B6F69B07E45F4034F011F0D24174B0EA180109C4","0BD566E4A49E751643B68842F4ABAE2BF3DBFB15926AB1A0DBEF62CD8FFCFEF9"
"localization/english/interactions/asoiaf_character_interactions_l_english.yml","localization/russian/interactions/asoiaf_character_interactions_l_russian.yml","18","18","18","18","","","4C348495C52F5E439DDD513DB6F1954527FB95DD96671D8813AF801A2D9959B6","D97D9A43F2C9B1DCF5385FE8D240E4662AD0DEE9DE071E97075F2EFA18BFA71E"
"localization/english/modifiers/asoiaf_county_modifiers_l_english.yml","localization/russian/modifiers/asoiaf_county_modifiers_l_russian.yml","4","4","4","4","","","6B0AD2C0AECDE2EA0FBA12DA98CEAE4771B46B7486DD22C40FA04E8D51D13EA1","731B130AD748C819536A4DADC958F473BB99F9C2404D689BE0C69D16941A37F1"
"localization/english/modifiers/asoiaf_modifiers_l_english.yml","localization/russian/modifiers/asoiaf_modifiers_l_russian.yml","469","469","469","469","","","1645AC3A1582CFB1AD5833F58E2F27F9C7434D91C6BF74A344FA7F880D67EA75","6458A37EA86733D94ACE2A28AD3A63B1D57B3C17FA91DBC30AAAA0ED51BA9A25"
"localization/english/opinions/asoiaf_opinions_l_english.yml","localization/russian/opinions/asoiaf_opinions_l_russian.yml","4","4","4","4","","","5F671D4D673A17246B5F839BBA2C749F4D27566ADC63CBEA805F596D57DCC162","44F7336A01C48EA05BCF71C34FA1EAD16C77D6548D535A3B84932786039E536B"
