"Count","Category","Owner","Files","FirstLogLine"
"119","Graphics / portrait source error","","","1220"
"97","Script / database error","","","1339"
"26","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_clothes_situational.txt","1785"
"20","Script / database error","Legacy Of The Dragon","common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt","1556"
"17","Script / database error","AGOT Submod Core","common/scripted_triggers/tgc_loaded_trigger.txt","1372"
"17","Script / database error","Divine Intervention Cheat Menu","common/scripted_effects/DI_char_spawner_effects.txt","1540"
"16","Script / database error","Divine Intervention AGOT Cheat Menu","common/scripted_effects/DI_court_position_spawner_overrides.txt","1680"
"16","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_headgear_situational.txt","1850"
"15","History / title / faith reference error","","","2136"
"12","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/seagaurd/building_seagard_01.mesh","1262"
"12","Script / database error","Divine Intervention Cheat Menu","common/character_interactions/DI_character_interaction.txt","1645"
"10","Script / database error","COW-AGOT: 3D Models & Bigger Castles","common/on_action/cowagot_province_on_actions.txt","1655"
"10","Script / database error","Divine Intervention AGOT Cheat Menu","common/scripted_effects/DI_present_effects.txt","1720"
"8","Script / database error","A Game of Thrones","common/scripted_effects/00_agot_artifact_crowns_effects.txt","1357"
"8","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/01_cloaks_base.txt","1750"
"7","Other error","Unresolved file","gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds","1221"
"7","Other error","Unresolved file","gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds","1223"
"7","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/crag/crag_level_1.mesh","1290"
"7","Localization / dynamic text error","","","1344"
"6","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/crag/crag_level_2.mesh","1242"
"6","Script / database error","COW-AGOT: 3D Models & Bigger Castles","common/buildings/yy_agotcities_special_buildings_westeros.txt","1350"
"6","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/01_legwear_base.txt","1770"
"5","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/whitegrove/whitegrove.mesh","1301"
"5","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/dunstonbury/dunstonbury.mesh","1308"
