"LogLine","Key","Category","FirstFile","SecondFile","RepositoryDefinitions","DistinctValues","Mods"
"27","dragon_egg_morghul_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"28","dragon_egg_morning_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"29","dragon_egg_the_last_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"30","dragon_egg_nightfyre_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"31","dragon_egg_cannibal_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"32","dragon_egg_sheepstealer_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"33","dragon_egg_grey_ghost_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"34","dragon_egg_drogon_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"35","dragon_egg_rhaegal_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"36","dragon_egg_viserion_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
