"Count","Category","Owner","Files","FirstLogLine"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/rooksrest/rooksrest2.mesh","1425"
"2","Script / database error","COW-AGOT: 3D Models & Bigger Castles","common/scripted_triggers/cowagot_building_requirement_triggers.txt","2171"
"2","Script / database error","AGOT - Crowns of Westeros","common/on_action/ntc_artifacts_startdate.txt","2126"
"1","Graphics / portrait source error","AGOT+","gfx/models/portraits/f_jewellery/asoiaf/asoiaf_generic/asoiaf_shark_tooth_necklace/f_asoiaf_shark_tooth_necklace.mesh","1483"
"1","Script / database error","Valyrian Steel","common/modifier_definition_formats/agot_scheme_definitions.txt","1964"
"1","Graphics / portrait source error","AGOT+","gfx/models/portraits/m_clothes/asoiaf/asoiaf_religious_clothing/asoiaf_septon_robes/asoiaf_septon_robes_1/asoiaf_septon_robes_1.mesh","1493"
"1","Graphics / portrait source error","AGOT+","gfx/models/portraits/f_legwear/asoiaf/asoiaf_generic/f_asoiaf_leather_boots_1/f_asoiaf_leather_boots_1.mesh","1494"
"1","Graphics / portrait source error","AGOT+","gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_armour_high_coa/asoiaf_ironborn_armour_high_coa.mesh","1491"
"1","Graphics / portrait source error","AGOT+","gfx/models/portraits/m_clothes/asoiaf/asoiaf_nights_watch/asoiaf_nights_watch_leather/asoiaf_nights_watch_leather.mesh","1492"
"1","Graphics / portrait source error","AGOT+","gfx/models/portraits/m_headgears/asoiaf/asoiaf_reach/asoiaf_tyrell_helm_high/asoiaf_tyrell_helm_high.mesh","1490"
"1","Mod descriptor warning","","","1"
"1","Graphics / portrait source error","AGOT+","gfx/models/portraits/m_legwear/asoiaf/asoiaf_generic/asoiaf_leather_boots_4/asoiaf_leather_boots_4.mesh","1484"
"1","Graphics / portrait source error","AGOT+","gfx/models/portraits/m_clothes/asoiaf/asoiaf_crownlands/asoiaf_gold_cloak_armour/asoiaf_gold_cloak_armour.mesh","1485"
"1","Graphics / portrait source error","AGOT+","gfx/models/portraits/f_clothes/asoiaf/asoiaf_religious_clothing/asoiaf_silent_sister_robes/f_asoiaf_silent_sister_robes.mesh","1501"
"1","Graphics / portrait source error","A Game of Thrones | Unresolved file","common/coat_of_arms/coat_of_arms/northern_dynasties.txt | gfx/coat_of_arms/colored_emblems/north_wibberly.dds","1734"
"1","Graphics / portrait source error","A Game of Thrones | Unresolved file","common/coat_of_arms/coat_of_arms/reach_dynasties.txt | gfx/coat_of_arms/colored_emblems/ce_bottom_solid.dds","1737"
"1","Graphics / portrait source error","A Game of Thrones | Unresolved file","common/coat_of_arms/coat_of_arms/riverland_dynasties.txt | gfx/coat_of_arms/colored_emblems/vale_seldon_rayonne.dds","1732"
"1","Graphics / portrait source error","AGOT+ | Unresolved file","common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt | gfx/coat_of_arms/colored_emblems/ce_bottom_solid.dds","1733"
"1","Graphics / portrait source error","AGOT+ | Unresolved file","common/coat_of_arms/coat_of_arms/test_riverland_dynasties.txt | gfx/coat_of_arms/colored_emblems/vale_seldon_rayonne.dds","1741"
"1","History / title / faith reference error","Divine Intervention Cheat Menu","common/scripted_guis/DI_char_editor_present_sgui.txt","1749"
"1","Graphics / portrait source error","AGOT+ | Unresolved file","common/coat_of_arms/coat_of_arms/test_personal_coas.txt | gfx/coat_of_arms/colored_emblems/asoiaf_unicorn.dds","1738"
"1","Graphics / portrait source error","AGOT+ | Unresolved file","common/coat_of_arms/coat_of_arms/test_northern_dynasties.txt | gfx/coat_of_arms/colored_emblems/north_wibberly.dds","1739"
"1","Graphics / portrait source error","A Game of Thrones | Unresolved file","common/coat_of_arms/coat_of_arms/personal_coas_dynamic.txt | gfx/coat_of_arms/colored_emblems/asoiaf_unicorn.dds","1731"
"1","Script / database error","A Game of Thrones","events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt","1564"
"1","Graphics / portrait source error","AGOT Bookmarked","common/bookmark_portraits/bookmark_99_aurion_varezys.txt","1565"
"1","Script / database error","Legacy Of The Dragon","events/decisions_events/buy_ruby_crown_events.txt","1562"
"1","Graphics / portrait source error","AGOT Bookmarked","common/bookmark_portraits/bookmark_299_asha_greyjoy.txt","1563"
"1","Script / database error","AGOT Bookmarked","common/scripted_effects/00_agot_scenario_setup_effects.txt","1587"
