"Date","Page","URL","Text"
"2024-10-27T17:24:07.0000000+00:00","11","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=11#1730049847","- Canon Children born while the mother is travelling are added to her travel entourage"
"2024-10-13T18:37:08.0000000+00:00","11","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=11#1728844628","- Expanded the Targareyn Canon Children system to Aerys II's generation, making it now possible to create the entire Targaryen House from Aegon the Conqueror to Young Griff."
"2024-10-12T12:49:41.0000000+00:00","11","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=11#1728737381","- Expanded the Targaryen Canon Children system to Daeron the Drunken's children and Aerion Brightflame's children."
"2024-10-11T19:29:25.0000000+00:00","11","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=11#1728674965","- Expanded the Targaryen Canon Children system down to Aegon V's generation.
- Added custom traits for all the Targaryens newly included in the Canon Children expansion."
"2024-10-06T20:28:48.0000000+00:00","11","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=11#1728246528","- Bastard Canon Children can now properly be born matrilineally
- Expanded the Canon Children system to Kevan Lannister's children"
"2024-09-29T17:34:14.0000000+00:00","12","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=12#1727631254","- Daenerys' dragons more consistently spawn at the invader's location when invading Westeros."
"2024-09-21T08:22:39.0000000+00:00","12","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=12#1726906959","- Integrated the Robert's Rebellion-era Daynes into the Canon Children system
- Added new game rule for spawning other Targaryens alongside the main claimant during a Targaryen Invasion (with an optional setting for making them all dragon-riders)"
"2024-09-19T21:59:16.0000000+00:00","12","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=12#1726783156","- Characters wearing crowns on death now continue to wear them in their death portrait (right now only works with vanilla AGOT crowns, AGOT+ crowns, and Legacy of the Dragon crowns)."
"2024-09-13T07:39:56.0000000+00:00","12","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=12#1726213196","- Jacaerys, Lucerys, and Joffrey Velaryon now properly hatch their canon dragons if using the canon hatching game rule from vanilla AGOT"
"2024-09-11T19:11:13.0000000+00:00","12","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=12#1726081873","- Daenerys Targaryen and Viserys Targaryen now have custom perks unlocked if using the Canon Children system or the Alternate Traits/Relationships game rule (including the invader versions of each character)
- Dragons now universally get a saggy neck as they age."
"2024-09-08T19:33:37.0000000+00:00","12","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=12#1725824017","- Robin Arryn no longer has the possibility of being a bastard in the Canon Children system. It now treats him as legitimate and must be born from Jon Arryn."
"2024-09-07T18:22:33.0000000+00:00","13","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=13#1725733353","- Canon Children bastards which get exposed prior to birth once again get the bastard trait properly."
"2024-09-06T08:53:59.0000000+00:00","13","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=13#1725612839","- Added new game rule to give Velaryons their HBO appearances (currently includes Corlys, Laena, and Laenor). Has also been integrated into the Canon Children system depending on if you have the HBO Velaryon game rule enabled or not"
"2024-09-05T16:36:51.0000000+00:00","13","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=13#1725554211","- Fixed an issue where Canon Children only became their father's House/culture/faith, regardless of whether their parents are matrilineally married or not (Known loophole: if the father dies BEFORE the wife gets her pregnancy notification event, the pregnancy will default to the father's House as it's not possible to run a check on matrilineal/patrilineal marriages if one of the two spouses are dead, i.e., there is no longer a marriage to check)
- The Targaryen scripted invaders Daenerys/Viserys/Aegon now properly receive their Canon Children modifiers
- The Targaryen scripted invaders Daenerys/Viserys/Aegon now get their canon traits if on a historical game mode (the same traits they'd get with the Alternate Traits/Relationships game rule or Canon Children)"
"2024-09-03T18:51:43.0000000+00:00","13","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=13#1725389503","- Fixed issue where the Canon Children version of Laenor Velaryon wasn't given his proper hairstyle, DNA, etc."
"2024-09-03T18:42:52.0000000+00:00","13","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=13#1725388972","- Fixed issue where Viserys would auto-start bond schemes with Meleys"
"2024-09-01T21:59:58.0000000+00:00","14","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=14#1725227998","- Renly Baratheon now has a beauty trait if using the alternate traits game rule or Canon Children
- Expanded dragon bonding game rule to more historical characters"
