FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
textures,1217,06:13:07,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds,,,
textures,1218,06:13:07,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/debug/no_properties.dds',Graphics / portrait source error,CK3,gfx/models/debug/no_properties.dds,,,
textures,1219,06:13:07,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds,,,
textures,1220,06:13:07,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/debug/no_normal.dds',Graphics / portrait source error,CK3,gfx/models/debug/no_normal.dds,,,
textures,1221,06:13:07,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds,,,
textures,1222,06:13:09,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/debug/no_properties.dds',Graphics / portrait source error,CK3,gfx/models/debug/no_properties.dds,,,
textures,1223,06:13:09,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds,,,
textures,1224,06:13:09,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/debug/no_normal.dds',Graphics / portrait source error,CK3,gfx/models/debug/no_normal.dds,,,
textures,1225,06:13:09,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds,,,
textures,1226,06:13:09,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/debug/no_properties.dds',Graphics / portrait source error,CK3,gfx/models/debug/no_properties.dds,,,
textures,1227,06:13:09,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds,,,
textures,1228,06:13:09,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/debug/no_normal.dds',Graphics / portrait source error,CK3,gfx/models/debug/no_normal.dds,,,
textures,1229,06:13:09,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds,,,
textures,1230,06:13:09,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/debug/no_properties.dds',Graphics / portrait source error,CK3,gfx/models/debug/no_properties.dds,,,
textures,1231,06:13:09,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds,,,
textures,1232,06:13:09,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/debug/no_normal.dds',Graphics / portrait source error,CK3,gfx/models/debug/no_normal.dds,,,
textures,1233,06:13:09,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds,,,
