File,MeshIndex,Channel,Vertices,PayloadSHA256,IdenticalChannels,Min,Max,UniqueUVPairs,Start,End,RemoveProposed
gfx/models/portraits/f_headgears/asoiaf/asoiaf_crownlands/f_asoiaf_gold_cloak_helm/f_asoiaf_gold_cloak_helm.mesh,0,u0,1398,CD6FD4790360136667CF3F2F81B81701CE124738D9F1427B2859577BC27582D4,[],0.006198883056640625,0.990234375,800,56020,67213,False
gfx/models/portraits/f_headgears/asoiaf/asoiaf_crownlands/f_asoiaf_gold_cloak_helm/f_asoiaf_gold_cloak_helm.mesh,0,u1,1398,31E190504018F47D3B929598D2A9ADC6CB3C7ABF739619FAEC5546BC9824F731,[],136.78086853027344,193.40072631835938,1073,67213,78406,False
gfx/models/portraits/f_headgears/asoiaf/asoiaf_crownlands/f_asoiaf_gold_cloak_helm/f_asoiaf_gold_cloak_helm.mesh,0,u2,1398,3C4315D29DE3A2CCBA04CD41CE893359FB766DE46933403EE5A170ED9F203203,[],-1.0,1.0,253,78406,89599,False
gfx/models/portraits/f_headgears/asoiaf/asoiaf_crownlands/f_asoiaf_gold_cloak_helm/f_asoiaf_gold_cloak_helm.mesh,0,u3,1398,295E8D1D7D047E7EF8E40C01696B9E6C672A7AC2EDC5756342024DFD5AF38BC2,[],-435.5161437988281,-176.29640197753906,1174,89599,100792,True
gfx/models/portraits/f_jewellery/asoiaf/asoiaf_generic/asoiaf_shark_tooth_necklace/f_asoiaf_shark_tooth_necklace.mesh,0,u0,327,9AC00EB5089D2D562E6A296DE1AB1A953379F8614EA1F11BF14A55E77ED325A0,"['u1', 'u2', 'u3']",0.304443359375,0.849609375,327,13183,15808,False
gfx/models/portraits/f_jewellery/asoiaf/asoiaf_generic/asoiaf_shark_tooth_necklace/f_asoiaf_shark_tooth_necklace.mesh,0,u1,327,9AC00EB5089D2D562E6A296DE1AB1A953379F8614EA1F11BF14A55E77ED325A0,"['u0', 'u2', 'u3']",0.304443359375,0.849609375,327,15808,18433,False
gfx/models/portraits/f_jewellery/asoiaf/asoiaf_generic/asoiaf_shark_tooth_necklace/f_asoiaf_shark_tooth_necklace.mesh,0,u2,327,9AC00EB5089D2D562E6A296DE1AB1A953379F8614EA1F11BF14A55E77ED325A0,"['u0', 'u1', 'u3']",0.304443359375,0.849609375,327,18433,21058,False
gfx/models/portraits/f_jewellery/asoiaf/asoiaf_generic/asoiaf_shark_tooth_necklace/f_asoiaf_shark_tooth_necklace.mesh,0,u3,327,9AC00EB5089D2D562E6A296DE1AB1A953379F8614EA1F11BF14A55E77ED325A0,"['u0', 'u1', 'u2']",0.304443359375,0.849609375,327,21058,23683,True
gfx/models/portraits/f_legwear/asoiaf/asoiaf_crownlands/f_asoiaf_dragonstone_legs/f_asoiaf_dragonstone_legs.mesh,0,u0,1137,AD95A7EF53DD913509AB36831A9B44998F0574CD81289FB890A569FA4A4ACC6F,"['u1', 'u2', 'u3']",0.1201171875,0.9990234375,573,45581,54686,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_crownlands/f_asoiaf_dragonstone_legs/f_asoiaf_dragonstone_legs.mesh,0,u1,1137,AD95A7EF53DD913509AB36831A9B44998F0574CD81289FB890A569FA4A4ACC6F,"['u0', 'u2', 'u3']",0.1201171875,0.9990234375,573,54686,63791,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_crownlands/f_asoiaf_dragonstone_legs/f_asoiaf_dragonstone_legs.mesh,0,u2,1137,AD95A7EF53DD913509AB36831A9B44998F0574CD81289FB890A569FA4A4ACC6F,"['u0', 'u1', 'u3']",0.1201171875,0.9990234375,573,63791,72896,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_crownlands/f_asoiaf_dragonstone_legs/f_asoiaf_dragonstone_legs.mesh,0,u3,1137,AD95A7EF53DD913509AB36831A9B44998F0574CD81289FB890A569FA4A4ACC6F,"['u0', 'u1', 'u2']",0.1201171875,0.9990234375,573,72896,82001,True
gfx/models/portraits/f_legwear/asoiaf/asoiaf_crownlands/f_asoiaf_gold_cloak_legs/f_asoiaf_gold_cloak_legs.mesh,0,u0,1970,6E8901C180BD7C853FE615DC55663F9D907BEE7A81D554B70AABAB79E44EDC67,[],0.00914764404296875,0.9912109375,1219,78900,94669,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_crownlands/f_asoiaf_gold_cloak_legs/f_asoiaf_gold_cloak_legs.mesh,0,u1,1970,DB2C68B1D3AEDB3A281F1F667B24BD2090951B5056F732287B7EE03F23DA6C45,[],-0.13421130180358887,115.80490112304688,897,94669,110438,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_crownlands/f_asoiaf_gold_cloak_legs/f_asoiaf_gold_cloak_legs.mesh,0,u2,1970,D77FD2C60C3F59E8A709D975E21D75983E19F01E985D517CD24DB4806F482ED7,[],-1.0,1.0,234,110438,126207,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_crownlands/f_asoiaf_gold_cloak_legs/f_asoiaf_gold_cloak_legs.mesh,0,u3,1970,9398134FD4FE5CC5E7EC5264ABBED57D83C3BCBCE7A9A2E7EFA3E73B55897FB1,[],-434.30303955078125,-175.28781127929688,1049,126207,141976,True
gfx/models/portraits/f_legwear/asoiaf/asoiaf_generic/f_asoiaf_leather_boots_1/f_asoiaf_leather_boots_1.mesh,0,u0,580,00C1E79337AEBB437B19B2E84F0EF3F1DDA41FDB22713ED95DB0F73D984E5887,"['u1', 'u2', 'u3']",0.0081329345703125,0.9091796875,290,23300,27949,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_generic/f_asoiaf_leather_boots_1/f_asoiaf_leather_boots_1.mesh,0,u1,580,00C1E79337AEBB437B19B2E84F0EF3F1DDA41FDB22713ED95DB0F73D984E5887,"['u0', 'u2', 'u3']",0.0081329345703125,0.9091796875,290,27949,32598,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_generic/f_asoiaf_leather_boots_1/f_asoiaf_leather_boots_1.mesh,0,u2,580,00C1E79337AEBB437B19B2E84F0EF3F1DDA41FDB22713ED95DB0F73D984E5887,"['u0', 'u1', 'u3']",0.0081329345703125,0.9091796875,290,32598,37247,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_generic/f_asoiaf_leather_boots_1/f_asoiaf_leather_boots_1.mesh,0,u3,580,00C1E79337AEBB437B19B2E84F0EF3F1DDA41FDB22713ED95DB0F73D984E5887,"['u0', 'u1', 'u2']",0.0081329345703125,0.9091796875,290,37247,41896,True
gfx/models/portraits/f_legwear/asoiaf/asoiaf_iron_isles/f_asoiaf_greyjoy_legs/f_asoiaf_greyjoy_legs.mesh,0,u0,1209,306D820AE5CA390921C717E640885E03A492A5537E20ABC9897658A5040BE8DD,"['u1', 'u2', 'u3']",0.00684356689453125,0.96875,614,48457,58138,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_iron_isles/f_asoiaf_greyjoy_legs/f_asoiaf_greyjoy_legs.mesh,0,u1,1209,306D820AE5CA390921C717E640885E03A492A5537E20ABC9897658A5040BE8DD,"['u0', 'u2', 'u3']",0.00684356689453125,0.96875,614,58138,67819,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_iron_isles/f_asoiaf_greyjoy_legs/f_asoiaf_greyjoy_legs.mesh,0,u2,1209,306D820AE5CA390921C717E640885E03A492A5537E20ABC9897658A5040BE8DD,"['u0', 'u1', 'u3']",0.00684356689453125,0.96875,614,67819,77500,False
gfx/models/portraits/f_legwear/asoiaf/asoiaf_iron_isles/f_asoiaf_greyjoy_legs/f_asoiaf_greyjoy_legs.mesh,0,u3,1209,306D820AE5CA390921C717E640885E03A492A5537E20ABC9897658A5040BE8DD,"['u0', 'u1', 'u2']",0.00684356689453125,0.96875,614,77500,87181,True
gfx/models/portraits/m_cloaks/asoiaf/asoiaf_crownlands/asoiaf_gold_cloak_cloak/asoiaf_gold_cloak_cloak.mesh,0,u0,1632,4E8BB264B504A0AA4A6D0D1F0FB7FDCA715A9E0CE04EBFA0FCE4206AC54E956F,[],0.007480621337890625,0.9912109375,1523,65379,78444,False
